name,type,domainmin,domainmax,datastep,minincluded,maxincluded,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
Cohort,nominal,,,,,,NTB,PW,,,,,,,,,
SNpc_percent,continuous,0,100,0.5,,,,,,,,,,,,,
PFC1_percent,continuous,0,100,0.5,,,,,,,,,,,,,
Age_of_death,continuous,0,,1,,,,,,,,,,,,,
Sex,nominal,,,,,,F,M,,,,,,,,,
PMI,continuous,0,,1,,,,,,,,,,,,,
DV200,continuous,0,100,0.1,,,,,,,,,,,,,
Dementia,nominal,,,,,,no,yes,,,,,,,,,
PD_subtype_AR_TD,nominal,,,,,,AR,Mixed,TD,,,,,,,,
PD_subtype_PIGD_TD,nominal,,,,,,PIGD,Mixed,TD,,,,,,,,
Daily_cigarettes,continuous,0,,1,,,,,,,,,,,,,
Ethanol_units,continuous,0,,1,,,,,,,,,,,,,
total_score_UPDRS_first_examination,continuous,0,260,1,,,,,,,,,,,,,
total_score_UPDRS_final_examination,continuous,0,260,1,,,,,,,,,,,,,
